SYMBOL,HIGH,LOW,DAILY RANGE
CROMPTON,263.3,255,8.299988
CSBBANK,197,190,7.0
CTE,26.9,25.25,1.6499996
CUB,243.05,235.8,7.25
CUBEXTUB,13,12.8,0.19999981
CUMMINSIND,652.8,594,58.799988
CUPID,235,227,8.0
CYBERMEDIA,2.05,2.05,0.0
CYBERTECH,46.35,45.25,1.0999985
CYIENT,499,487.15,11.850006
DAAWAT,29.15,28.1,1.0499992
DABUR,495.5,488.7,6.799988
DALBHARAT,919,860.05,58.950012
DALMIASUG,124.3,120,4.300003
DAMODARIND,31.85,30.5,1.3500004
DANGEE,132.25,132.25,0.0
DATAMATICS,81.9,78.2,3.7000046
DBCORP,142.35,139.8,2.550003
DBL,413.9,404,9.899994
DBREALTY,11.1,10.55,0.5500002
DBSTOCKBRO,10.45,10.45,0.0
DCAL,85.2,79.8,5.399994
DCBBANK,181,174,7.0
DCM,23.5,21.75,1.75
DCMFINSERV,0.85,0.85,0.0
DCMNVL,37.45,35.05,2.4000015
DCMSHRIRAM,394.15,375.1,19.049988
DCW,16.3,15.7,0.5999994
DECCANCE,342,331.5,10.5
DEEPAKFERT,118.4,112.05,6.3499985
DEEPAKNTR,404.7,397.35,7.350006
DEEPIND,118,114.95,3.050003
DELTACORP,188.75,183.7,5.050003
DELTAMAGNT,38.8,36.1,2.7000008
DEN,55.3,51.85,3.4500008
DENORA,235.5,226,9.5
DEVIT,75.55,73.45,2.100006
DFMFOODS,329.9,301,28.899994
DGCONTENT,5.65,5.45,0.20000029
DHAMPURSUG,219.8,208.45,11.350006
DHANBANK,15.35,14.8,0.5500002
DHANUKA,558,506.15,51.850006
DHARSUGAR,7.85,7.3,0.5499997
DHFL,15.15,14.3,0.8499994
DHFL,189.9,189.9,0.0
DHFL,220,210,10.0
DHFL,215,200,15.0
DHFL,242,241,1.0
DHFL,210,195,15.0
DHFL,249.26,224.2,25.059998
DHFL,234,232,2.0
DHFL,190.1,190,0.1000061
DHFL,255.8,252.8,3.0
DHFL,200,200,0.0
DHUNINV,263.9,240,23.899994
DIAMONDYD,843.95,820.3,23.650024
DIAPOWER,0.65,0.55,0.099999964
DICIND,360.6,335.85,24.75
DIGISPICE,5.35,5,0.3499999
DIGJAMLTD,1,0.9,0.100000024
DISHTV,14.95,13.6,1.3499994
DIVISLAB,1994.4,1936.05,58.349976
DIXON,4489.95,4242.4,247.5503
DLF,261.8,256.65,5.149994
DLINKINDIA,121,117.5,3.5
DMART,1984.25,1928,56.25
DNAMEDIA,0.45,0.4,0.049999982
DOLAT,57,54.3,2.7000008
DOLLAR,153.15,146.05,7.099991
DONEAR,31.6,30.1,1.5
DPSCLTD,8.25,7.7,0.5500002
DPWIRES,90.5,86.1,4.4000015
DQE,1.15,1.15,0.0
DREDGECORP,336.35,327.65,8.700012
DRREDDY,3201.85,3099.2,102.65015
DSML,5.3,5.25,0.05000019
DSSL,26.6,25,1.6000004
DTIL,185.5,181.3,4.199997
DUCON,5.05,4.75,0.3000002
DVL,72.5,69.85,2.6500015
DWARKESH,39.4,36.9,2.5
DYNAMATECH,1014.7,952,62.700012
DYNPRO,161,154.05,6.949997
E2E,22.45,22.45,0.0
EASTSILK,1,0.9,0.100000024
EASUNREYRL,2.9,2.75,0.1500001
EBBETF0423,1006,1005.11,0.89001465
